ID,solution
7945735584a3297121c4f5ae0de8ecd1,7336.636065696058
85cb958e8b9d583575cd9cb93e389226,4372.036045540067
2d4e8cd3947525a12ff16af520beefb9,3262.3664041700536
24cf317a1494a016a018d9f5cd183639,3325.448990732931
370babaf32dc82a6a64bf5b71a3434ed,3275.095716775497
cd13f2d62720d6d43610ec777e7a213b,7308.370989053447
90db7190edad6a69e6c27fd4fba364ee,2641.4982744286135
a89155c178d0f609dc51d218ee31fbd3,4025.5639666216307
3367409f1e660b2cfa2042a5b8f09ebe,4729.32916271863
6ba01ec35aa020a57e82bd6e004afae6,7977.539814953261
524874f6868038675014315eb321467b,7430.668261774498
1a894090496d6c338e16d1c45339acb7,4877.978614736205
b378a1d00f2012582e6242ca081a62d0,3671.7533518156506
13cb889f8103fcf11fae5cb4d2a8b2b2,2713.64705404661
18786902bccc6b710b42ea25e5240ba4,2713.64705404661
659dcb6afe21ab266e0a8b2c40d33603,7430.668261774498
bf136f5b33e00b7a30611d558d0083bc,4861.0243500639535
0f21cad710d772c31750b6d983c32595,2730.601318718861
3ffafc2dbbab7d9f3a9d6bf5cd736e4f,4833.149711253077
0fc217fdb0cecc0db3dbf26eedf62ebb,3262.3664041700526
5de116a38a083904cf7426a78de64b31,4833.149711253078
f1229928c5f9cb5545c3c59f914498a5,4712.374898046379
1dbe397a412a195dbe69c52397afdcf2,3476.6856918822327
c6cf03a55b827f3889ef402270086e70,7325.3252537256985
3df196725791c122106382aa97656590,2590.1118779078847
1b99d60fcb69a7428174f300589dbe5a,4025.5639666216307
2d5c58f7da2994f32fbe010b204d7b26,4712.374898046379
dcfa78fbaf6a1d0e1a70a70be404f274,5095.967831336229
2fa76b82efe819f9593e486291deefe1,5034.595324406702
14b84bb635bf5f6861f9c80d4c54e61b,4783.648537803885
c984841f3717df081ad6845344226ee1,3262.3664041700526
71c20c468d12dba26b1362f31fe7ed07,10086.31024034239
4aa789b03ea03aa449d7cde822490198,7308.370989053447
b6afc0c26cc4c1f9d2d1be37e2500cdf,4025.5639666216307
5489d08564afe2c280b1906bbc0baa6d,2567.196512176692
59b4a5344ef589199476febd8722dc3e,4850.103975925329
3c193cc642a3b5c34a01aa0ecec2269c,2713.64705404661
fb3a960fe446fe1e254d989e8659ddfc,3348.6054322553127
132f10a6f1fa64dd472320d64fdcfe65,2590.1118779078847
88d0a4dde6b17b3f97b64c2cb70d3aa2,3262.3664041700536
04051bf0f6db65566782719ec3c03b54,5112.922096008481
1156eda732c609364fd6d0cf7a19ea1b,3348.6054322553127
4e86af66edd0951a7ca48b5ce96f8588,2869.550976316279
ae94d98f709301e21c8e3bc1464e241d,7977.539814953261
06b9a0b9d85e0a9b9d91e113ef9f33ac,4833.149711253078
